username,feedback_date,campaign_id,comment
user_fb68,2025-04-04,CAMP147,Great campaign!
user_fb46,2025-02-23,CAMP892,Not very engaging.
user_fb81,2025-09-21,CAMP274,Loved the product presentation.
user_fb63,2025-08-20,CAMP542,Great campaign!
user_fb69,2025-08-05,CAMP484,Too many details - hard to follow.
user4,2025-04-04,CAMP139,Loved the product presentation.
user_fb17,2025-05-02,CAMP244,Clear and concise message.
user2,2025-03-12,CAMP291,Clear and concise message.
user_fb69,2025-02-24,CAMP839,Not very engaging.
user_fb99,2025-09-27,CAMP352,Not very engaging.
user_fb97,2025-02-06,CAMP605,Too many details - hard to follow.
user_fb82,2025-05-25,CAMP494,Creative and fun approach!
user_fb42,2025-07-04,CAMP372,Clear and concise message.
user_fb47,2025-01-20,CAMP737,Great campaign!
user_fb41,2025-06-05,CAMP548,Great campaign!
user_fb52,2025-08-18,CAMP334,Not very engaging.
user_fb51,2025-04-11,CAMP151,Creative and fun approach!
user_fb43,2025-07-09,CAMP514,Not very engaging.
user_fb64,2025-01-03,CAMP513,Great campaign!
user_fb24,2025-04-20,CAMP878,Creative and fun approach!
user_fb69,2025-03-14,CAMP606,Not very engaging.
user_fb50,2025-09-22,CAMP669,Not very engaging.
user4,2025-04-23,CAMP400,Creative and fun approach!
user13,2025-02-25,CAMP742,Creative and fun approach!
user7,2025-09-02,CAMP421,Too many details - hard to follow.
user14,2025-10-07,CAMP324,Clear and concise message.
user_fb99,2025-08-04,CAMP649,Great campaign!
user_fb56,2025-01-17,CAMP896,Too many details - hard to follow.
user_fb75,2025-08-04,CAMP326,Too many details - hard to follow.
user_fb66,2025-09-03,CAMP678,Clear and concise message.
user_fb84,2025-02-12,CAMP878,Could be better organized.
user_fb60,2025-06-29,CAMP401,Excellent marketing strategy.
user7,2025-03-25,CAMP971,Could be better organized.
user_fb85,2025-02-07,CAMP480,Great campaign!
user_fb65,2025-04-25,CAMP166,Could be better organized.
user_fb63,2025-04-30,CAMP456,Too many details - hard to follow.
user_fb71,2025-08-10,CAMP685,Could be better organized.
user_fb61,2025-02-24,CAMP708,Creative and fun approach!
user_fb76,2025-01-19,CAMP915,Clear and concise message.
user_fb46,2025-02-06,CAMP321,Great campaign!
user8,2025-06-21,CAMP663,Loved the product presentation.
user_fb54,2025-07-09,CAMP945,Loved the product presentation.
user_fb98,2025-05-12,CAMP813,Excellent marketing strategy.
user_fb100,2025-10-18,CAMP990,Creative and fun approach!
user_fb48,2025-05-05,CAMP883,Loved the product presentation.
user_fb88,2025-03-04,CAMP742,Clear and concise message.
user_fb52,2025-08-24,CAMP623,Clear and concise message.
user_fb38,2025-10-13,CAMP656,Creative and fun approach!
user_fb82,2025-08-21,CAMP418,Creative and fun approach!
user_fb95,2025-03-09,CAMP824,Loved the product presentation.
user_fb36,2025-05-01,CAMP276,Clear and concise message.
user_fb45,2025-10-24,CAMP634,Excellent marketing strategy.
user_fb37,2025-05-08,CAMP954,Could be better organized.
user8,2025-09-16,CAMP142,Not very engaging.
user_fb55,2025-03-19,CAMP253,Too many details - hard to follow.
user_fb34,2025-03-09,CAMP535,Creative and fun approach!
user_fb73,2025-03-14,CAMP204,Too many details - hard to follow.
user_fb91,2025-03-19,CAMP605,Great campaign!
user12,2025-10-10,CAMP789,Excellent marketing strategy.
user_fb41,2025-01-21,CAMP752,Excellent marketing strategy.
user_fb71,2025-10-06,CAMP151,Creative and fun approach!
user_fb73,2025-06-10,CAMP142,Too many details - hard to follow.
user_fb78,2025-03-26,CAMP949,Not very engaging.
user11,2025-05-29,CAMP799,Not very engaging.
user_fb64,2025-03-15,CAMP151,Loved the product presentation.
user_fb79,2025-01-07,CAMP891,Creative and fun approach!
user_fb36,2025-01-20,CAMP693,Creative and fun approach!
user_fb60,2025-08-28,CAMP216,Clear and concise message.
user_fb89,2025-02-09,CAMP322,Too many details - hard to follow.
user_fb73,2025-04-07,CAMP306,Great campaign!
user_fb80,2025-05-16,CAMP767,Loved the product presentation.
user10,2025-02-27,CAMP355,Not very engaging.
user_fb19,2025-04-13,CAMP590,Loved the product presentation.
user_fb56,2025-03-29,CAMP672,Excellent marketing strategy.
user_fb79,2025-08-22,CAMP184,Not very engaging.
user_fb75,2025-10-13,CAMP801,Creative and fun approach!
user_fb35,2025-01-31,CAMP730,Excellent marketing strategy.
user_fb71,2025-05-29,CAMP114,Creative and fun approach!
user_fb21,2025-06-24,CAMP464,Loved the product presentation.
user_fb41,2025-08-28,CAMP186,Great campaign!
user_fb62,2025-03-22,CAMP944,Could be better organized.
user12,2025-01-23,CAMP703,Clear and concise message.
user_fb77,2025-08-07,CAMP643,Great campaign!
user_fb49,2025-02-18,CAMP693,Too many details - hard to follow.
user_fb88,2025-09-21,CAMP931,Excellent marketing strategy.
user_fb98,2025-04-28,CAMP351,Clear and concise message.
user_fb20,2025-01-07,CAMP949,Loved the product presentation.
user_fb20,2025-08-06,CAMP685,Too many details - hard to follow.
user_fb30,2025-01-05,CAMP638,Loved the product presentation.
user_fb19,2025-07-12,CAMP541,Loved the product presentation.
user_fb93,2025-02-24,CAMP502,Not very engaging.
user_fb27,2025-08-11,CAMP278,Not very engaging.
user_fb39,2025-10-15,CAMP222,Excellent marketing strategy.
user10,2025-06-25,CAMP828,Great campaign!
user_fb66,2025-04-13,CAMP528,Excellent marketing strategy.
user_fb21,2025-02-28,CAMP520,Creative and fun approach!
user_fb38,2025-05-27,CAMP476,Creative and fun approach!
user_fb80,2025-09-28,CAMP428,Excellent marketing strategy.
user_fb43,2025-06-03,CAMP935,Creative and fun approach!
user_fb21,2025-06-08,CAMP726,Not very engaging.
